video_id,c_pc1,c_pc2,c_pc3,c_pc4,c_pc5,c_pc7,c_pc8,c_pc10,c_pc13,c_pc17,c_pc21,c_pc32,c_pc34,c_pc36,c_pc44,c_pc46,c_pc52,c_pc60,c_pc63,c_pc64,c_pc68,c_pc77,c_pc92,c_pc108,c_pc141,c_pc142,c_pc185,c_pc208,c_pc244,c_pc292,video_duration,release_year,text_len,nb_hashtags,nb_emojis,hashtag_density,emoji_density,sentiment_score,sentiment_abs,up_uploader_alpedhuez,up_uploader_avoriaz,up_uploader_baqueiraberetoficial,up_uploader_chamonix_montblanc_off,up_uploader_crans_montana,up_uploader_davosklosters,up_uploader_grandvalira_andorra,up_uploader_kitzbuehel_official,up_uploader_lech_zuers,up_uploader_megeve_officiel,up_uploader_stanton_arlberg_official,up_uploader_tignesofficiel,up_uploader_val_thorens,f1_sharpness_x,f1_brightness_x,f1_saturation_x,f2_sharpness_x,f2_brightness_x,f2_saturation_x,f3_sharpness_x,f3_brightness_x,f3_saturation_x,f4_sharpness,f4_brightness,f4_saturation,f5_sharpness,f5_brightness,f5_saturation,hook_motion,hook_shake,content_motion,content_shake,max_peak_motion,yolo_person_x,yolo_ski_snow_x,avg_face_count_x,max_face_coverage_x,body_presence_score_x,dominant_emotion_angry_x,dominant_emotion_disgust,dominant_emotion_fear_x,dominant_emotion_happy_x,dominant_emotion_neutral_x,dominant_emotion_none_x,dominant_emotion_sad,dominant_emotion_surprise,num_cuts_x,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3,nb_textbloc,att_mean_saliency,att_max_saliency,att_min_saliency,att_skewness,att_kurtosis,att_hook_score,att_outro_score,att_peak_location,att_high_attention_ratio,att_attention_instability
6739804771013774597,-10.952490967077777,-0.3235263744218394,-0.6526086214512172,2.3963289815280024,2.152830030169742,-4.154568124536403,-3.146675982421338,-1.6025381708076991,-1.9053920301963119,2.29004155356233,1.3055294550159031,-0.49519575018866013,-2.1139612337293947,-2.2724377161103546,-1.450557215482672,-1.3724000079423544,-0.9879256756904735,0.7860619865520884,-0.04410961277155959,0.3884453738202848,-0.04354144035142357,-1.2217418741825656,0.09702261042672375,0.4805267504937447,-0.7851930868977637,0.6018745053865193,-0.34604262052002266,0.2740286461504623,0.3023602612403001,0.41474190931121185,12,2019,131,5,2,0.0378787878787878,0.0151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,790.54,159.49,58.7,782.57,159.14,59.44,520.51,151.33,62.68,261.36,146.02,70.38,,,,0.0687829852104187,0.003527280408889,0.1310321241617202,0.0239524412900209,0.2620642483234405,1,0,0.25,0.0001,0.25,False,False,False,False,False,False,True,False,2,209,209,221,0.2696428571428571,138,145,175,0.4961309523809524,71,94,139,0.2342261904761904,0,18.507617950439453,22.80673789978028,10.112531661987305,-1.2058979272842407,2.290891170501709,19.101083755493164,17.13433074951172,0.5769230769230769,0.9615384615384616,1.6282497644424438
6750983141873224966,-10.130078203476344,0.5134075690753725,2.1081669664319302,3.352359770993327,2.3428427939843455,-5.989040602048682,-3.7917457472914586,-0.9541757793475474,-2.8209352840022666,0.7307874080501402,0.503978821650288,-0.5212810554091165,-0.596909724443076,-1.071384999177799,-1.046538839110429,-1.5124277407534052,-0.8719803928893778,-0.103036918671425,0.09560031029111,0.5567679328204025,0.5353672430401879,-0.41582585128258986,-0.004123826524125707,0.4714190120885238,0.07579661286873135,-0.4317336088468552,-0.6430360448156942,0.13502276910236374,-0.18726958528087123,0.0676603778500368,10,2019,43,3,2,0.0681818181818181,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106.36,132.97,74.63,141.68,144.24,63.61,200.35,145.59,67.48,66.86,125.52,60.78,126.42,138.73,84.64,0.4209743142127991,0.0897447168827056,0.3339692652225494,0.0435872264206409,0.4881730675697326,4,3,0.8,0.0024,0.8,False,False,False,False,True,False,False,False,2,67,87,126,0.2667142857142857,130,140,170,0.3531071428571428,183,180,200,0.3801785714285714,0,17.00819206237793,21.97369956970215,12.307788848876951,0.1565764397382736,-0.054741621017456,13.983650207519531,18.62737274169922,0.5454545454545454,0.9545454545454546,1.4964386224746704
6792131260543225094,-12.72684638483384,0.22547455014422385,1.419668688170399,4.0894104328044785,0.017146039135574387,-0.8329365318493294,-1.5962231144908525,-3.6509905616650626,-2.4064247736244484,0.4573844280061712,0.1357758862598364,1.0728156469678805,-3.043551704838661,-0.31689272168033916,-0.12966896131759917,0.9435547390495226,2.3749127455068435,1.4887808154027125,1.4699875231666626,1.4285999798073832,-0.9244877316229395,-0.05418619334443436,-0.40104884557345866,-1.4846105841783845,0.05735224785427426,-0.6180585694283824,-1.198906071133639,0.5245381689848747,1.3864871370123115,-0.04100817018740758,12,2020,99,10,1,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,473.91,121.51,118.76,417.19,119.68,120.22,,,,,,,,,,0.1814009398221969,0.012393707409501,,,0.2612795829772949,5,1,1.0,0.0003,0.5,False,False,False,False,True,False,False,False,0,54,106,167,0.2244047619047619,178,189,200,0.456875,13,51,100,0.3187202380952381,0,16.19353485107422,20.542312622070312,13.786904335021973,0.8729926347732544,0.0664539337158203,17.38456153869629,15.784160614013672,0.1923076923076923,1.0,0.600384533405304
6792133610360065285,-6.5758637385992715,7.466510106374268,-5.562702881215556,3.2769157271246914,0.6995602310581254,-4.390342606909732,0.25546778858904634,-0.46007645730289465,0.04744162827209545,2.5968576529195353,1.2537967631553382,-1.3888627153031536,-0.06455963315798899,-0.5110389188059853,1.4798331512889888,0.5967558354807937,0.11658727929672434,0.39183650206604703,0.6053474998378684,-0.41593262791724356,-0.32333448314696056,-2.2994398556566784,-0.07411981945315657,-0.9481082498823081,1.2538532012172663,0.08589325880195298,-0.7676550379892972,-0.8109785617620398,0.020510404917002015,0.16622650080213566,12,2020,89,7,1,0.0777777777777777,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,348.03,141.39,39.86,436.69,139.93,39.24,210.11,141.28,29.63,283.59,157.9,18.77,,,,0.9787551164627076,0.2588341236114502,1.1377878189086914,2.0718181133270264,1.5060218572616575,2,0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,5,198,194,194,0.4147321428571429,65,70,84,0.1341369047619047,128,131,141,0.4511309523809523,0,14.890490531921388,18.952852249145508,11.925113677978516,0.715639591217041,0.0954928398132324,17.44770622253418,15.09579086303711,0.8,0.92,1.3793935775756836
6793347939294072069,-9.27284812271755,0.13856945598408407,1.9549352538387594,5.129965227812874,-0.7913087939136896,-5.889517726645206,-4.047934941647309,-0.9699920757023321,-3.676325710287227,3.4314769227494186,-0.2687250901047418,3.185181715087697,0.28753591714098836,3.226419935805834,-2.0501946076215853,-1.3149707014702592,-0.12482673916685748,0.3075611579907625,0.6688850445381362,-1.3269013726359262,-1.9298992827788684,0.615365663788529,2.170768324053882,0.0024378384159306496,-1.0863516214400326,1.028482574443271,-0.7069231243684396,-0.12350984169623831,1.4640289477271746,-0.47862700573251626,11,2020,107,8,1,0.074074074074074,0.0092592592592592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.05,153.17,130.2,151.03,158.77,121.23,,,,,,,,,,0.4321361184120178,0.0769209340214729,,,0.5542424321174622,3,0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,0,6,112,177,0.4257857142857142,228,234,239,0.4648214285714285,165,145,157,0.1093928571428571,0,15.241564750671388,17.432912826538086,12.499902725219728,-0.7533280253410339,-0.1717004776000976,15.479694366455078,16.617624282836914,0.9130434782608696,0.8695652173913043,0.8532268404960632
6793765694619143430,3.014236991173166,2.9405215426608775,-2.0963574404988026,1.922374870512395,-1.4278977758428915,-4.565625786014273,0.9038686953317817,3.489028611076433,0.18839376786507164,-3.628502491923836,0.04517186597232255,1.5290831731874903,-0.6007526088877776,0.5415829888201702,1.4178064590221247,-0.25107988326633157,0.9571468006356058,-1.1245303228999277,0.7592323532944082,-0.8881989186669556,-1.6014540368433898,1.050197740952193,0.1591021596580743,-1.310302312479087,-1.084264631576374,0.6342597369575237,-0.6023987171622708,-1.0357048494300451,0.13284064853544195,0.28915853199767555,6,2020,34,4,0,0.1142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,212.88,102.1,110.8,109.07,97.97,110.98,163.47,104.08,82.56,222.34,98.39,86.09,,,,2.660508155822754,2.1241114139556885,1.715489387512207,1.445314645767212,3.537383317947388,0,0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,4,111,126,147,0.4120833333333333,57,43,38,0.4142261904761904,201,196,184,0.1736904761904762,0,18.13958549499512,21.334943771362305,15.798351287841797,0.4302367866039276,-0.7952702045440674,19.00449180603028,18.75424766540528,0.2142857142857142,1.0,1.3529142141342163
6794470373212589317,0.5762580416514004,6.588612958539198,-4.341006637231156,2.8640605726436412,1.2467118126276517,-1.1385231898928614,1.0024418588763528,-0.17678533336139343,-1.0765162590347905,1.4867631762386033,0.6441334012034229,0.8308330869162689,2.395639604370388,1.7992473510645042,-1.9127208285578556,0.2299853706955257,-0.2378542138699439,-0.16204400688327716,-1.9340977691175656,0.09857028074234869,0.3840681481238311,0.37742141276302,-1.8999304984907572,-0.3037321588016364,-0.4963724526736699,0.02315673324647769,0.3549209987939098,0.5164098303924355,-0.9174279178160227,-1.1228192778829809,8,2020,39,5,0,0.125,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.78,189.8,18.4,18.76,184.74,19.01,,,,,,,,,,0.7456859350204468,0.2988892197608948,,,0.9699841737747192,0,0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,0,157,134,106,0.1324107142857143,203,209,210,0.7854017857142858,84,76,64,0.0821875,0,18.50408935546875,21.74275588989257,16.171913146972656,0.9476667046546936,0.1564540863037109,19.42723846435547,18.267013549804688,0.1764705882352941,1.0,0.9595924615859984
6795606002222796037,-10.945084083356818,3.0597091439554496,0.943602299072785,6.913270952826099,-0.583145847120487,-0.16756382046755847,-3.3981433409138426,-1.530074973150754,0.434554925891567,-1.6072150428233496,0.6616561550050708,-0.9233594780640553,-2.107276387232329,0.5565087775324871,-0.37257135049598855,0.5997731057829262,-1.2236506044025635,-0.7312224877502728,0.8573330103046682,-1.1551799946271248,-0.8777199861377551,0.029107097824131265,-0.13057581770878537,-1.6579826100175343,-1.3960578014124656,0.6350274058319441,0.2626810507197471,0.5354132507686502,-0.36850801868532296,0.40081402922760845,9,2020,81,8,1,0.0975609756097561,0.0121951219512195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118.74,140.39,125.65,97.06,128.67,135.97,,,,,,,,,,0.6507518291473389,0.1637244224548339,,,0.996450662612915,2,1,1.0,0.0004,1.0,True,False,False,False,False,False,False,False,0,237,165,108,0.5208928571428572,35,48,70,0.33,79,94,119,0.1491071428571428,0,14.348984718322754,15.979252815246582,11.451644897460938,-0.6911492347717285,-0.4268498420715332,15.245097160339355,13.928467750549316,0.7894736842105263,0.8947368421052632,1.4520238637924194
6796363351816555782,-12.852403642645683,0.4951775433768992,2.354949682710212,4.41240879987217,-2.261475535875096,0.3862757642965979,2.9045435628613854,1.8769637834197588,-0.15609684438789978,-2.316782088844861,-0.22420484874909635,-1.0420087878382076,-0.2744406217262287,0.09799287846704775,-0.936707529019103,0.6102827521755799,0.524586422487897,0.47746029031036,0.18708352752678234,-0.7818627739667109,1.403824340543555,0.7185852141021914,-1.125138337895865,-0.7052170682624904,-0.37524754041344716,-0.24701571164626165,-0.39776310280560917,0.5731158055188526,-0.37609684931381565,-9.033320776228057e-05,11,2020,44,5,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,679.22,90.58,120.54,668.25,89.89,120.29,513.57,90.65,115.46,326.1,98.31,114.06,,,,0.0090431738644838,0.0001282471785089,0.1721324771642685,0.0310519225895404,0.3080524802207947,3,1,0.5,0.0009,0.5,False,False,True,False,False,False,False,False,2,21,38,75,0.5089285714285714,192,192,193,0.2496785714285714,98,112,135,0.2413928571428571,1,21.28807830810547,24.412521362304688,17.012210845947266,-0.1914827525615692,-1.5913779735565186,21.741830825805664,19.01215171813965,0.4583333333333333,1.0,0.7893375158309937
6796364077095472389,-12.08206107316066,5.101653648479164,2.912938754419007,6.63704988110346,-2.478170628792244,-2.498067877274246,-2.8176109350393648,-2.1122215852843764,-1.3870361718621746,1.6875304428326645,2.4174491212070186,-1.2087599636794968,-0.8234237608176146,1.7489580467648085,-0.3039707327264253,0.4192452452099936,0.3812051653864796,0.12926624765804337,1.7922193575312273,-1.6090754361184032,0.5207563383309339,1.262385656426068,-0.1736132000179508,-1.7372192343867598,-0.9857035918402615,0.05963632740042587,-0.10275199962563042,0.5390246405378792,0.038035229969857295,0.26432982384002696,10,2020,49,6,0,0.12,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,119.69,111.93,92.75,102.32,102.91,103.04,,,,,,,,,,0.3453998565673828,0.1345837265253067,,,0.4553693532943725,2,3,1.0,0.0032,1.0,False,False,False,False,False,False,True,False,4,171,171,176,0.4382142857142857,21,40,74,0.4911071428571428,170,36,26,0.0706785714285714,0,18.67118263244629,21.73735618591309,16.6557674407959,0.3718807995319366,-0.0985023975372314,19.528703689575195,17.28562355041504,0.0,1.0,1.1478204727172852
