video_id,f1_sharpness,f1_brightness,f1_saturation,f2_sharpness,f2_brightness,f2_saturation,f3_sharpness,f3_brightness,f3_saturation,f4_sharpness,f4_brightness,f4_saturation,f5_sharpness,f5_brightness,f5_saturation
VIDEO_6739804771013774597,790.54,159.49,58.7,782.57,159.14,59.44,520.51,151.33,62.68,261.36,146.02,70.38,,,
VIDEO_6750983141873224966,106.36,132.97,74.63,141.68,144.24,63.61,200.35,145.59,67.48,66.86,125.52,60.78,126.42,138.73,84.64
VIDEO_6764678537346616582,43.57,109.12,134.59,34.78,105.29,138.73,,,,,,,,,
VIDEO_6768860777525824773,102.99,86.51,44.32,62.37,84.9,44.85,,,,,,,,,
VIDEO_6792131260543225094,473.91,121.51,118.76,417.19,119.68,120.22,,,,,,,,,
VIDEO_6792133610360065285,348.03,141.39,39.86,436.69,139.93,39.24,210.11,141.28,29.63,283.59,157.9,18.77,,,
VIDEO_6793347939294072069,163.05,153.17,130.2,151.03,158.77,121.23,,,,,,,,,
VIDEO_6793765694619143430,212.88,102.1,110.8,109.07,97.97,110.98,163.47,104.08,82.56,222.34,98.39,86.09,,,
VIDEO_6794470373212589317,17.78,189.8,18.4,18.76,184.74,19.01,,,,,,,,,
VIDEO_6795606002222796037,118.74,140.39,125.65,97.06,128.67,135.97,,,,,,,,,
VIDEO_6796363351816555782,679.22,90.58,120.54,668.25,89.89,120.29,513.57,90.65,115.46,326.1,98.31,114.06,,,
VIDEO_6796364077095472389,119.69,111.93,92.75,102.32,102.91,103.04,,,,,,,,,
VIDEO_6797039273053850886,243.78,159.55,92.69,193.19,160.03,101.12,,,,,,,,,
VIDEO_6798641094109269253,1100.96,117.14,84.32,789.96,125.88,79.68,838.07,123.99,79.14,403.78,127.44,75.41,,,
VIDEO_6798648871401819398,1141.06,52.69,15.17,967.61,48.89,18.13,,,,,,,,,
VIDEO_6800982671657880837,106.31,152.06,36.15,83.64,142.42,38.63,,,,,,,,,
VIDEO_6802558843114114310,197.99,159.14,45.52,170.97,155.95,49.35,,,,,,,,,
VIDEO_6814175723704683782,24.05,29.3,73.58,272.79,120.91,79.48,14.8,131.51,83.44,31.1,137.05,77.72,114.06,133.07,90.25
VIDEO_6821547365887905030,191.15,154.72,69.76,183.72,155.36,68.53,,,,,,,,,
VIDEO_6825975879940820230,872.8,130.33,85.9,734.46,130.07,85.72,,,,,,,,,
VIDEO_6834056379355991301,245.69,101.07,74.77,272.91,110.5,71.53,255.13,105.9,84.17,160.69,111.8,64.08,212.26,95.76,76.28
VIDEO_6834420537545084166,241.7,118.09,87.41,195.92,118.21,70.03,119.48,185.55,26.82,202.92,94.18,67.99,260.2,146.91,48.86
VIDEO_6847902541095668997,438.98,114.2,63.63,350.2,109.3,76.2,1.13,170.1,31.53,316.7,121.75,87.67,320.34,137.49,54.6
VIDEO_6852640471013920006,161.09,116.25,89.89,165.27,103.4,99.65,163.04,102.18,98.89,355.25,112.84,88.21,,,
VIDEO_6855731886438763781,663.91,124.95,124.28,568.95,126.31,123.43,593.3,124.57,127.01,873.09,115.65,97.7,587.63,117.93,90.83
VIDEO_6860766213992090886,540.17,117.85,146.1,508.08,119.27,147.67,527.79,118.07,149.69,685.96,121.99,83.04,,,
VIDEO_6864458828012899589,3386.25,127.89,64.97,3337.91,126.01,68.8,,,,,,,,,
VIDEO_6864806467329903878,1661.4,131.73,98.11,1955.19,130.52,97.16,,,,,,,,,
VIDEO_6869621825035357441,1015.38,153.02,45.57,1004.42,153.27,45.74,1060.74,152.34,46.54,0.17,86.02,46.78,,,
VIDEO_6874890977631390978,1219.94,112.88,114.88,1082.77,113.3,112.31,,,,,,,,,
VIDEO_6875610422578351362,498.96,112.03,71.7,435.52,111.49,71.72,,,,,,,,,
VIDEO_6875699019520298242,1092.97,168.61,90.72,603.23,193.96,35.36,62.93,155.74,98.57,168.51,113.53,124.66,148.05,140.11,105.6
VIDEO_6876362124260691202,275.02,158.02,13.54,333.9,154.66,12.62,,,,,,,,,
VIDEO_6876369843591941377,385.9,213.06,20.4,1163.78,165.24,40.7,,,,,,,,,
VIDEO_6876847536938749185,1123.73,116.11,53.17,759.15,128.78,53.47,827.59,151.53,47.9,1210.74,122.9,33.97,1335.4,155.27,41.14
VIDEO_6878219367390268673,1610.52,125.88,94.13,1417.55,126.82,91.35,,,,,,,,,
VIDEO_6879407335484214530,668.31,183.19,50.25,751.62,175.57,49.35,,,,,,,,,
VIDEO_6880117942432959746,262.8,147.23,79.6,269.32,145.39,89.33,,,,,,,,,
VIDEO_6880792115329142018,472.88,135.22,67.8,580.32,130.0,72.15,303.87,189.78,15.67,226.13,202.64,16.34,,,
VIDEO_6883389583271185666,774.01,140.77,68.8,798.24,136.15,75.79,,,,,,,,,
VIDEO_6883561429727726850,2115.26,77.55,67.84,1782.08,78.44,66.17,,,,,,,,,
VIDEO_6883876793380572417,705.83,102.37,73.2,681.02,107.35,74.11,,,,,,,,,
VIDEO_6885735124013550850,1235.75,116.12,99.05,838.1,121.61,103.57,,,,,,,,,
