,video_id,nb_textbloc
0,VIDEO_7602656035161050390,1
1,VIDEO_7590718903144287510,3
2,VIDEO_7571821778746592534,2
3,VIDEO_7569927329154190614,0
4,VIDEO_7566270741134462230,11
5,VIDEO_7536170254989315350,2
6,VIDEO_7520640970199698710,0
7,VIDEO_7496799936558796054,0
8,VIDEO_7487960173529582870,1
9,VIDEO_7478712216724802838,1
10,VIDEO_7470850262840691990,1
11,VIDEO_7424512450856357153,5
12,VIDEO_7416286728513735968,2
13,VIDEO_7374727208394411297,5
14,VIDEO_7361057454454508833,4
15,VIDEO_7343975400122354977,4
16,VIDEO_7322847358646078752,3
17,VIDEO_7311689753676533024,5
18,VIDEO_7307595143559859488,0
19,VIDEO_7298756408994991393,1
20,VIDEO_7272755309658098976,3
21,VIDEO_7226766521719213338,0
22,VIDEO_7224139299594194203,8
23,VIDEO_7208566584535764250,0
24,VIDEO_7205976379370851589,3
25,VIDEO_7177404002508803334,4
26,VIDEO_7164792237543394566,3
27,VIDEO_7162183685423385862,2
28,VIDEO_7153997940774882565,2
29,VIDEO_7143619564775968006,1
30,VIDEO_7138043316087606533,2
31,VIDEO_7114705253899029765,2
32,VIDEO_7107270367303044358,2
33,VIDEO_7101685930276293894,2
34,VIDEO_7096121724990655749,2
35,VIDEO_7079814734664436998,4
36,VIDEO_7071272731286834437,4
37,VIDEO_7067569943449046278,2
38,VIDEO_7063121025394855173,0
39,VIDEO_7023313220278553862,3
40,VIDEO_7019559155425955077,0
41,VIDEO_6958797242429934854,5
42,VIDEO_6940653001791130885,0
43,VIDEO_6927911225066130693,2
44,VIDEO_6896446483080482050,3
45,VIDEO_6893888228848389377,1
46,VIDEO_6891645296233794817,3
47,VIDEO_6883561429727726850,4
48,VIDEO_6876362124260691202,1
49,VIDEO_6874890977631390978,2
50,VIDEO_6855731886438763781,5
51,VIDEO_6852640471013920006,0
52,VIDEO_6847902541095668997,0
53,VIDEO_6802558843114114310,0
54,VIDEO_7603743614157458710,0
55,VIDEO_7595972634450431254,0
56,VIDEO_7587402623129636118,1
57,VIDEO_7587440240327937302,4
58,VIDEO_7584845578429828375,3
59,VIDEO_7581822570454879510,0
60,VIDEO_7579299127637363990,0
61,VIDEO_7580305629634399510,3
62,VIDEO_7578925701114481942,5
63,VIDEO_7577797962017918230,1
64,VIDEO_7576309328584592643,0
65,VIDEO_7575167976853228822,0
66,VIDEO_7574884067729050902,3
67,VIDEO_7572598154063990038,3
68,VIDEO_7567386738709073174,3
69,VIDEO_7566939859156290838,0
70,VIDEO_7565890573115165974,0
71,VIDEO_7563265888623840534,0
72,VIDEO_7556999098637880598,3
73,VIDEO_7551795663772798211,0
74,VIDEO_7549089036447649046,5
75,VIDEO_7547744113433627926,4
76,VIDEO_7542538735116684566,1
77,VIDEO_7541326779697564930,2
78,VIDEO_7539973950877584662,0
79,VIDEO_7535846854743821590,0
80,VIDEO_7535846685101149462,0
81,VIDEO_7535846060476976406,3
