video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
7602656035161050390,193,207,203,0.5060357142857143,136,154,162,0.3438571428571428,64,83,99,0.1501071428571428
7590718903144287510,25,27,32,0.6083928571428572,148,134,112,0.1579642857142857,95,70,62,0.2336428571428571
7571821778746592534,223,238,248,0.4570714285714286,90,136,163,0.0923571428571428,183,206,222,0.4505714285714285
7569927329154190614,212,213,226,0.2235714285714285,13,65,81,0.2819132653061224,120,147,193,0.494515306122449
7566270741134462230,96,110,127,0.2140625,230,231,230,0.5602678571428571,28,36,48,0.2256696428571428
7536170254989315350,191,193,196,0.3261904761904762,59,68,84,0.3399255952380952,114,122,137,0.3338839285714285
7520640970199698710,62,61,60,0.2481696428571428,190,202,208,0.3676785714285714,133,131,126,0.3841517857142857
7496799936558796054,87,108,144,0.5185331632653061,184,190,205,0.3721301020408163,32,40,55,0.1093367346938775
7487960173529582870,40,39,39,0.259047619047619,179,187,203,0.5004166666666666,102,97,92,0.2405357142857143
7478712216724802838,107,125,153,0.3353061224489796,38,51,76,0.257359693877551,180,192,211,0.4073341836734694
7470850262840691990,27,30,28,0.0145238095238095,149,154,153,0.6081547619047619,64,105,110,0.3773214285714286
7424512450856357153,39,77,131,0.4702380952380952,198,215,227,0.2505952380952381,111,145,190,0.2791666666666667
7416286728513735968,108,131,154,0.3961309523809523,200,195,191,0.3116071428571428,16,39,52,0.2922619047619048
7374727208394411297,45,54,39,0.2417261904761904,116,128,103,0.3403571428571428,191,200,210,0.4179166666666666
7361057454454508833,201,212,231,0.6152857142857143,31,44,55,0.1772857142857143,118,136,151,0.2074285714285714
7343975400122354977,36,77,92,0.1053571428571428,192,193,193,0.7171875,77,124,139,0.1774553571428571
7322847358646078752,95,129,170,0.3925892857142857,211,214,226,0.3618303571428571,21,39,56,0.2455803571428571
7311689753676533024,221,219,232,0.6873214285714285,28,35,43,0.1674489795918367,140,137,138,0.1452295918367347
7307595143559859488,224,221,233,0.7349821428571428,40,54,59,0.1168928571428571,139,144,151,0.148125
7298756408994991393,204,201,200,0.3493303571428571,54,53,41,0.2998214285714285,156,134,107,0.3508482142857143
7272755309658098976,28,32,27,0.4850255102040816,127,119,85,0.2454336734693877,144,173,195,0.2695408163265306
7226766521719213338,24,34,35,0.201547619047619,174,192,209,0.3807142857142857,88,113,110,0.4177380952380952
7224139299594194203,176,180,186,0.4557857142857143,31,82,113,0.214,129,146,161,0.3302142857142857
7208566584535764250,122,119,121,0.3485267857142857,38,18,23,0.2141071428571428,183,185,188,0.4373660714285714
7205976379370851589,196,190,184,0.2806887755102041,67,70,83,0.3548979591836734,119,121,136,0.3644132653061224
7177404002508803334,120,116,121,0.3179464285714286,47,49,63,0.5064508928571428,197,196,197,0.1756026785714285
7164792237543394566,210,194,168,0.2111607142857142,145,108,77,0.2058333333333333,47,54,58,0.5830059523809524
7162183685423385862,133,122,129,0.2107142857142857,208,221,237,0.6623883928571429,36,41,61,0.1268973214285714
7153997940774882565,74,77,81,0.3241428571428571,232,215,195,0.2601071428571428,21,25,25,0.41575
7143619564775968006,198,191,180,0.3848214285714286,135,123,116,0.3294047619047619,58,37,31,0.2857738095238095
7138043316087606533,158,201,200,0.2637244897959184,102,159,148,0.4685969387755102,94,86,70,0.2676785714285714
7114705253899029765,235,236,240,0.3483035714285714,62,61,28,0.3340178571428571,153,155,98,0.3176785714285714
7107270367303044358,154,154,120,0.40525,63,71,56,0.4942142857142857,224,222,217,0.1005357142857142
7101685930276293894,37,69,73,0.3510714285714286,220,214,216,0.2943452380952381,149,143,135,0.3545833333333333
7096121724990655749,207,204,205,0.3153214285714286,60,43,57,0.3600714285714286,129,122,128,0.3246071428571428
7079814734664436998,185,189,202,0.3469260204081633,47,34,34,0.225625,93,95,121,0.4274489795918367
7071272731286834437,108,88,156,0.6686904761904762,231,208,228,0.1008333333333333,57,41,78,0.2304761904761904
7067569943449046278,75,99,156,0.4626785714285714,44,34,40,0.166875,192,191,196,0.3704464285714285
7063121025394855173,230,237,245,0.5544642857142857,120,142,165,0.2300446428571428,44,59,84,0.2154910714285714
7023313220278553862,59,64,60,0.244672619047619,192,199,195,0.304672619047619,140,141,125,0.4506547619047619
7019559155425955077,206,207,201,0.3646785714285714,62,49,38,0.2931428571428571,134,126,117,0.3421785714285714
6958797242429934854,211,188,190,0.5575357142857142,147,122,109,0.1863928571428571,67,55,47,0.2560714285714285
6940653001791130885,66,83,127,0.5242857142857142,140,160,193,0.32775,13,20,52,0.1479642857142857
6927911225066130693,21,20,29,0.1467857142857143,179,185,198,0.51375,100,109,136,0.3394642857142857
6896446483080482050,199,200,203,0.3445982142857143,51,56,52,0.3104910714285714,119,125,115,0.3449107142857143
6893888228848389377,94,70,47,0.2391964285714285,165,132,102,0.5045982142857143,208,188,166,0.2562053571428571
6891645296233794817,73,56,49,0.3027232142857143,223,213,206,0.351875,159,135,119,0.3454017857142857
6883561429727726850,32,34,27,0.5207142857142857,185,173,174,0.1942410714285714,97,91,81,0.2850446428571428
6876362124260691202,215,212,220,0.4995833333333333,68,64,67,0.1720238095238095,142,138,143,0.3283928571428571
6874890977631390978,82,78,84,0.537015306122449,96,142,221,0.3034183673469388,208,200,192,0.1595663265306122
6855731886438763781,160,175,211,0.3205059523809523,56,54,44,0.286875,135,130,95,0.3926190476190476
6852640471013920006,139,141,154,0.2961160714285714,66,66,56,0.5557142857142857,230,233,237,0.1481696428571428
