iter	Passed	Remaining
0	2	2069
1	3	1964
2	9	3087
3	10	2650
4	11	2369
5	12	2123
6	13	1960
7	14	1828
8	16	1821
9	17	1737
10	18	1667
11	19	1600
12	20	1544
13	21	1518
14	23	1516
15	23	1472
16	25	1466
17	26	1453
18	27	1419
19	28	1409
20	29	1386
21	31	1418
22	32	1386
23	33	1355
24	37	1444
25	39	1487
26	40	1453
27	41	1423
28	41	1396
29	42	1366
30	43	1362
31	44	1339
32	45	1318
33	45	1296
34	46	1274
35	46	1254
36	47	1234
37	47	1215
38	48	1198
39	49	1180
40	49	1165
41	51	1185
42	53	1179
43	53	1165
44	54	1150
45	54	1138
46	55	1126
47	56	1117
48	56	1104
49	57	1092
50	58	1080
51	58	1069
52	59	1057
53	59	1048
54	60	1037
55	60	1027
56	61	1019
57	62	1011
58	62	1002
59	63	993
60	63	984
61	64	977
62	65	971
63	66	965
64	67	964
65	68	963
66	68	957
67	69	954
68	70	950
69	71	944
70	71	938
71	72	932
72	72	926
73	73	920
74	74	915
75	74	910
76	75	904
77	76	898
78	76	894
79	77	888
80	78	887
81	79	890
82	80	891
83	81	887
84	82	890
85	83	885
86	84	883
87	85	881
88	85	877
89	86	876
90	87	871
91	87	866
92	88	862
93	89	858
94	89	854
95	90	849
96	90	846
97	91	842
98	92	838
99	92	835
100	93	834
101	94	834
102	95	833
103	96	830
104	97	827
105	97	824
106	98	821
107	99	818
108	99	814
109	100	811
110	100	808
111	101	804
112	102	800
113	102	797
114	103	794
115	103	790
116	104	789
117	105	786
118	106	788
119	107	785
120	107	782
121	110	793
122	111	792
123	111	789
124	112	786
125	112	783
126	113	782
127	114	779
128	115	777
129	115	775
130	116	772
131	117	769
132	117	768
133	118	765
134	118	762
135	119	759
136	120	757
137	120	754
138	121	751
139	121	749
140	122	746
141	123	744
142	128	771
143	129	768
144	129	766
145	130	766
146	132	766
147	133	765
148	133	763
149	134	761
150	135	759
151	135	756
152	136	754
153	137	753
154	137	750
155	138	748
156	140	756
157	141	754
158	142	753
159	143	751
160	144	753
161	145	751
162	145	748
163	146	746
164	147	744
165	147	741
166	148	739
167	148	737
168	149	735
169	150	733
170	150	731
171	151	728
172	156	745
173	156	744
174	161	762
175	162	760
176	165	769
177	166	767
178	168	772
179	169	770
180	172	780
181	173	780
182	177	793
183	178	790
184	180	794
185	181	792
186	183	795
187	183	792
188	187	804
189	189	809
190	191	810
191	192	808
192	194	812
193	194	810
194	196	812
195	197	810
196	199	813
197	200	810
198	201	812
