,video_id,R1,G1,B1,W1,R2,G2,B2,W2,R3,G3,B3,W3
0,VIDEO_7602656035161050390,193,207,203,0.5060357142857143,136,154,162,0.34385714285714286,64,83,99,0.15010714285714286
1,VIDEO_7590718903144287510,25,27,32,0.6083928571428572,148,134,112,0.15796428571428572,95,70,62,0.23364285714285715
2,VIDEO_7571821778746592534,223,238,248,0.4570714285714286,90,136,163,0.09235714285714286,183,206,222,0.45057142857142857
3,VIDEO_7569927329154190614,212,213,226,0.22357142857142856,13,65,81,0.28191326530612243,120,147,193,0.494515306122449
4,VIDEO_7566270741134462230,96,110,127,0.2140625,230,231,230,0.5602678571428571,28,36,48,0.22566964285714286
5,VIDEO_7536170254989315350,191,193,196,0.3261904761904762,59,68,84,0.33992559523809524,114,122,137,0.33388392857142857
6,VIDEO_7520640970199698710,62,61,60,0.24816964285714285,190,202,208,0.3676785714285714,133,131,126,0.3841517857142857
7,VIDEO_7496799936558796054,87,108,144,0.5185331632653061,184,190,205,0.3721301020408163,32,40,55,0.10933673469387756
8,VIDEO_7487960173529582870,40,39,39,0.259047619047619,179,187,203,0.5004166666666666,102,97,92,0.2405357142857143
9,VIDEO_7478712216724802838,107,125,153,0.3353061224489796,38,51,76,0.25735969387755103,180,192,211,0.4073341836734694
10,VIDEO_7470850262840691990,27,30,28,0.014523809523809524,149,154,153,0.6081547619047619,64,105,110,0.3773214285714286
11,VIDEO_7424512450856357153,39,77,131,0.47023809523809523,198,215,227,0.2505952380952381,111,145,190,0.2791666666666667
12,VIDEO_7416286728513735968,108,131,154,0.39613095238095236,200,195,191,0.31160714285714286,16,39,52,0.2922619047619048
13,VIDEO_7374727208394411297,45,54,39,0.24172619047619048,116,128,103,0.34035714285714286,191,200,210,0.41791666666666666
14,VIDEO_7361057454454508833,201,212,231,0.6152857142857143,31,44,55,0.1772857142857143,118,136,151,0.20742857142857143
15,VIDEO_7343975400122354977,36,77,92,0.10535714285714286,192,193,193,0.7171875,77,124,139,0.17745535714285715
16,VIDEO_7322847358646078752,95,129,170,0.3925892857142857,211,214,226,0.36183035714285716,21,39,56,0.24558035714285714
17,VIDEO_7311689753676533024,221,219,232,0.6873214285714285,28,35,43,0.16744897959183674,140,137,138,0.1452295918367347
18,VIDEO_7307595143559859488,224,221,233,0.7349821428571428,40,54,59,0.11689285714285715,139,144,151,0.148125
19,VIDEO_7298756408994991393,204,201,200,0.34933035714285715,54,53,41,0.29982142857142857,156,134,107,0.3508482142857143
20,VIDEO_7272755309658098976,28,32,27,0.48502551020408163,127,119,85,0.24543367346938774,144,173,195,0.2695408163265306
21,VIDEO_7226766521719213338,24,34,35,0.20154761904761906,174,192,209,0.3807142857142857,88,113,110,0.41773809523809524
22,VIDEO_7224139299594194203,176,180,186,0.4557857142857143,31,82,113,0.214,129,146,161,0.33021428571428574
23,VIDEO_7208566584535764250,122,119,121,0.3485267857142857,38,18,23,0.21410714285714286,183,185,188,0.4373660714285714
24,VIDEO_7205976379370851589,196,190,184,0.2806887755102041,67,70,83,0.35489795918367345,119,121,136,0.36441326530612245
25,VIDEO_7177404002508803334,120,116,121,0.3179464285714286,47,49,63,0.5064508928571428,197,196,197,0.17560267857142858
26,VIDEO_7164792237543394566,210,194,168,0.21116071428571428,145,108,77,0.20583333333333334,47,54,58,0.5830059523809524
27,VIDEO_7162183685423385862,133,122,129,0.21071428571428572,208,221,237,0.6623883928571429,36,41,61,0.12689732142857144
28,VIDEO_7153997940774882565,74,77,81,0.3241428571428571,232,215,195,0.26010714285714287,21,25,25,0.41575
29,VIDEO_7143619564775968006,198,191,180,0.3848214285714286,135,123,116,0.3294047619047619,58,37,31,0.28577380952380954
30,VIDEO_7138043316087606533,158,201,200,0.2637244897959184,102,159,148,0.46859693877551023,94,86,70,0.26767857142857143
31,VIDEO_7114705253899029765,235,236,240,0.34830357142857143,62,61,28,0.33401785714285714,153,155,98,0.3176785714285714
32,VIDEO_7107270367303044358,154,154,120,0.40525,63,71,56,0.4942142857142857,224,222,217,0.10053571428571428
33,VIDEO_7101685930276293894,37,69,73,0.3510714285714286,220,214,216,0.2943452380952381,149,143,135,0.3545833333333333
34,VIDEO_7096121724990655749,207,204,205,0.3153214285714286,60,43,57,0.3600714285714286,129,122,128,0.32460714285714287
35,VIDEO_7079814734664436998,185,189,202,0.3469260204081633,47,34,34,0.225625,93,95,121,0.42744897959183675
36,VIDEO_7071272731286834437,108,88,156,0.6686904761904762,231,208,228,0.10083333333333333,57,41,78,0.23047619047619047
37,VIDEO_7067569943449046278,75,99,156,0.46267857142857144,44,34,40,0.166875,192,191,196,0.37044642857142857
38,VIDEO_7063121025394855173,230,237,245,0.5544642857142857,120,142,165,0.23004464285714285,44,59,84,0.21549107142857143
39,VIDEO_7023313220278553862,59,64,60,0.24467261904761906,192,199,195,0.30467261904761905,140,141,125,0.4506547619047619
40,VIDEO_7019559155425955077,206,207,201,0.3646785714285714,62,49,38,0.29314285714285715,134,126,117,0.34217857142857144
41,VIDEO_6958797242429934854,211,188,190,0.5575357142857142,147,122,109,0.18639285714285714,67,55,47,0.25607142857142856
42,VIDEO_6940653001791130885,66,83,127,0.5242857142857142,140,160,193,0.32775,13,20,52,0.14796428571428571
43,VIDEO_6927911225066130693,21,20,29,0.1467857142857143,179,185,198,0.51375,100,109,136,0.3394642857142857
44,VIDEO_6896446483080482050,199,200,203,0.3445982142857143,51,56,52,0.3104910714285714,119,125,115,0.3449107142857143
45,VIDEO_6893888228848389377,94,70,47,0.23919642857142856,165,132,102,0.5045982142857143,208,188,166,0.25620535714285714
46,VIDEO_6891645296233794817,73,56,49,0.3027232142857143,223,213,206,0.351875,159,135,119,0.3454017857142857
47,VIDEO_6883561429727726850,32,34,27,0.5207142857142857,185,173,174,0.19424107142857142,97,91,81,0.28504464285714287
48,VIDEO_6876362124260691202,215,212,220,0.4995833333333333,68,64,67,0.17202380952380952,142,138,143,0.32839285714285715
49,VIDEO_6874890977631390978,82,78,84,0.537015306122449,96,142,221,0.3034183673469388,208,200,192,0.15956632653061226
50,VIDEO_6855731886438763781,160,175,211,0.32050595238095236,56,54,44,0.286875,135,130,95,0.39261904761904765
51,VIDEO_6852640471013920006,139,141,154,0.29611607142857144,66,66,56,0.5557142857142857,230,233,237,0.14816964285714285
52,VIDEO_6847902541095668997,43,47,58,0.36717261904761905,133,124,132,0.3980059523809524,213,209,212,0.23482142857142857
53,VIDEO_6802558843114114310,20,27,39,0.16892857142857143,188,198,209,0.71675,123,126,134,0.11432142857142857
54,VIDEO_7603743614157458710,68,71,99,0.2689285714285714,169,178,206,0.32916666666666666,123,128,159,0.40190476190476193
55,VIDEO_7595972634450431254,67,72,73,0.4312053571428571,111,118,122,0.32,189,180,163,0.24879464285714287
56,VIDEO_7587402623129636118,46,40,49,0.26917857142857143,204,207,219,0.42692857142857144,135,121,130,0.30389285714285713
57,VIDEO_7587440240327937302,132,148,169,0.3766964285714286,200,206,212,0.32919642857142856,55,83,115,0.29410714285714284
58,VIDEO_7584845578429828375,73,93,116,0.345,200,202,202,0.32958333333333334,141,150,163,0.3254166666666667
59,VIDEO_7581822570454879510,107,58,25,0.3150357142857143,26,12,6,0.6098571428571429,225,188,136,0.07510714285714286
60,VIDEO_7579299127637363990,113,134,169,0.22767857142857142,214,220,227,0.5645238095238095,25,30,40,0.20779761904761904
61,VIDEO_7580305629634399510,186,197,203,0.26785714285714285,35,35,33,0.3148809523809524,100,106,114,0.4172619047619048
62,VIDEO_7578925701114481942,153,167,197,0.74,77,99,137,0.16919642857142858,219,222,231,0.09080357142857143
63,VIDEO_7577797962017918230,194,196,199,0.44424107142857144,15,83,138,0.406875,153,156,162,0.14888392857142857
64,VIDEO_7576309328584592643,183,193,209,0.48392857142857143,49,52,52,0.17232142857142857,164,172,187,0.34375
65,VIDEO_7575167976853228822,141,142,146,0.20651785714285714,216,221,229,0.4902232142857143,70,73,83,0.30325892857142855
66,VIDEO_7574884067729050902,135,133,140,0.3109821428571429,58,48,55,0.1770982142857143,178,185,195,0.5119196428571429
67,VIDEO_7572598154063990038,188,191,201,0.36428571428571427,43,64,95,0.2724553571428571,130,137,153,0.36325892857142855
68,VIDEO_7567386738709073174,107,110,101,0.49273809523809525,202,177,151,0.256547619047619,33,32,24,0.2507142857142857
69,VIDEO_7566939859156290838,220,223,227,0.613125,44,108,143,0.2415625,124,162,190,0.1453125
70,VIDEO_7565890573115165974,217,216,213,0.35349489795918365,64,55,51,0.3604591836734694,135,122,111,0.28604591836734694
71,VIDEO_7563265888623840534,47,43,41,0.34964285714285714,147,147,148,0.24714285714285714,100,107,116,0.4032142857142857
72,VIDEO_7556999098637880598,131,136,147,0.3480059523809524,216,215,215,0.31836309523809525,37,37,46,0.33363095238095236
73,VIDEO_7551795663772798211,100,90,67,0.7175595238095238,62,127,192,0.1586904761904762,207,206,202,0.12375
74,VIDEO_7549089036447649046,127,103,88,0.3878125,186,171,165,0.201875,50,44,50,0.4103125
75,VIDEO_7547744113433627926,48,50,44,0.45602678571428573,175,188,203,0.2757142857142857,113,115,97,0.2682589285714286
76,VIDEO_7542538735116684566,114,117,125,0.29845238095238097,44,42,43,0.4430357142857143,175,184,191,0.2585119047619048
77,VIDEO_7541326779697564930,131,144,95,0.5481696428571429,138,169,201,0.15339285714285714,67,82,74,0.2984375
78,VIDEO_7539973950877584662,92,92,77,0.21470238095238095,34,30,28,0.6688690476190476,192,196,157,0.11642857142857142
79,VIDEO_7535846854743821590,129,140,148,0.43979591836734694,71,76,65,0.3910459183673469,199,197,198,0.1691581632653061
80,VIDEO_7535846685101149462,121,121,115,0.358,184,186,194,0.28285714285714286,54,56,47,0.35914285714285715
81,VIDEO_7535846060476976406,52,56,42,0.40401785714285715,109,113,108,0.3898511904761905,206,216,218,0.2061309523809524
82,VIDEO_7535476048444558614,70,107,166,0.40669642857142857,150,185,221,0.5005803571428571,23,31,29,0.09272321428571428
83,VIDEO_7535123405562006806,110,135,170,0.49738095238095237,69,57,46,0.2617857142857143,150,184,221,0.24083333333333334
84,VIDEO_7533124404062981398,186,199,219,0.5333482142857143,46,56,67,0.28120535714285716,123,146,181,0.18544642857142857
85,VIDEO_7532382235463339286,179,189,194,0.4174234693877551,32,33,23,0.3401530612244898,110,114,85,0.2424234693877551
86,VIDEO_7528433357093358870,111,104,99,0.19200892857142857,25,28,29,0.4343303571428571,195,205,205,0.3736607142857143
87,VIDEO_7510479503592901910,58,54,46,0.5064285714285715,104,90,69,0.38171428571428573,183,168,161,0.11185714285714286
88,VIDEO_7509512878026788118,121,113,72,0.38558035714285716,15,14,8,0.3817857142857143,179,168,158,0.23263392857142856
89,VIDEO_7504668782045039894,154,183,231,0.2832142857142857,53,71,73,0.3175,106,139,184,0.3992857142857143
90,VIDEO_7495322095065238806,67,49,75,0.30178571428571427,200,204,208,0.3642261904761905,130,132,148,0.33398809523809525
91,VIDEO_7494238893546474774,165,171,180,0.47232142857142856,140,144,152,0.44339285714285714,87,87,94,0.08428571428571428
92,VIDEO_7490222588883422486,103,125,159,0.23875,213,219,226,0.6254017857142857,26,30,40,0.13584821428571428
93,VIDEO_7488220279244623126,94,128,157,0.6775,170,182,203,0.1511309523809524,49,60,72,0.17136904761904762
94,VIDEO_7486138878026321174,103,118,136,0.18327380952380953,175,185,196,0.705654761904762,13,11,16,0.11107142857142857
95,VIDEO_7483898615803612418,19,52,77,0.20339285714285715,130,150,172,0.545625,197,207,216,0.2509821428571429
96,VIDEO_7480918194438278422,187,199,215,0.5659642857142857,37,50,70,0.15092857142857144,117,139,166,0.28310714285714284
97,VIDEO_7480563839319264534,142,180,201,0.4067410714285714,192,215,230,0.44919642857142855,16,41,69,0.1440625
98,VIDEO_7471286673494527254,136,146,161,0.3031845238095238,57,60,70,0.2683035714285714,195,202,211,0.42851190476190476
99,VIDEO_7470532387223407904,50,54,84,0.31510714285714286,15,15,31,0.6521428571428571,194,173,154,0.03275
100,VIDEO_7468709057516326177,179,190,206,0.3131696428571429,40,65,98,0.2888392857142857,97,124,161,0.39799107142857143
101,VIDEO_7468323433714126112,178,186,193,0.5789285714285715,47,54,61,0.19035714285714286,119,127,136,0.2307142857142857
